sample_id,cluster_label
0,4
1,3
2,5
3,4
4,1
5,1
6,1
7,6
8,3
9,5
10,2
11,6
12,5
13,3
14,6
15,3
16,4
17,5
18,5
19,6
20,6
21,3
22,2
23,1
24,6
25,1
26,6
27,0
28,2
29,1
30,5
31,2
32,5
33,6
34,1
35,5
36,5
37,6
38,2
39,5
40,1
41,6
42,1
43,5
44,5
45,1
46,6
47,6
48,5
49,1
50,6
51,1
52,3
53,1
54,3
55,2
56,4
57,2
58,1
59,6
60,1
61,5
62,0
63,2
64,5
65,3
66,6
67,0
68,6
69,6
70,6
71,3
72,5
73,5
74,2
75,1
76,1
77,5
78,5
79,6
80,1
81,4
82,5
83,2
84,1
85,2
86,5
87,2
88,2
89,5
90,3
91,6
92,2
93,2
94,2
95,6
96,2
97,6
98,0
99,4
100,6
101,3
102,2
103,0
104,2
105,1
106,5
107,2
108,4
109,5
110,1
111,3
112,2
113,4
114,5
115,5
116,1
117,3
118,6
119,2
120,6
121,1
122,3
123,6
124,4
125,6
126,5
127,3
128,2
129,6
130,5
131,2
132,4
133,3
134,1
135,1
136,3
137,0
138,0
139,5
140,3
141,5
142,5
143,2
144,0
145,5
146,3
147,3
148,2
149,4
150,2
151,6
152,2
153,5
154,0
155,6
156,5
157,2
158,2
159,3
160,1
161,5
162,0
163,0
164,1
165,3
166,3
167,6
168,6
169,5
170,2
171,3
172,2
173,6
174,6
175,2
176,2
177,2
178,2
179,4
180,2
181,1
182,6
183,6
184,5
185,1
186,5
187,3
188,1
189,5
190,1
191,2
192,3
193,1
194,3
195,3
196,0
197,0
198,0
199,0
200,4
201,3
202,0
203,4
204,5
205,6
206,2
207,1
208,0
209,5
210,6
211,5
212,4
213,0
214,5
215,6
216,2
217,1
218,5
219,1
220,0
221,1
222,5
223,3
224,2
225,5
226,1
227,2
228,1
229,2
230,2
231,6
232,6
233,3
234,6
235,4
236,3
237,3
238,1
239,4
240,1
241,2
242,4
243,5
244,4
245,2
246,1
247,4
248,3
249,1
250,3
251,5
252,3
253,3
254,3
255,5
256,0
257,5
258,6
259,0
260,1
261,0
262,1
263,4
264,5
265,5
266,1
267,5
268,3
269,3
270,3
271,2
272,6
273,4
274,3
275,2
276,4
277,5
278,1
279,0
280,4
281,1
282,2
283,3
284,6
285,4
286,3
287,1
288,6
289,6
290,4
291,5
292,1
293,1
294,5
295,3
296,5
297,1
298,1
299,5
300,3
301,5
302,3
303,5
304,5
305,5
306,5
307,2
308,2
309,2
310,4
311,3
312,5
313,6
314,0
315,1
316,5
317,1
318,3
319,3
320,3
321,3
322,2
323,0
324,0
325,6
326,5
327,4
328,6
329,2
330,6
331,4
332,3
333,2
334,1
335,3
336,2
337,2
338,1
339,1
340,0
341,5
342,3
343,3
344,5
345,6
346,2
347,0
348,6
349,0
350,0
351,4
352,1
353,6
354,3
355,0
356,3
357,5
358,1
359,3
360,5
361,2
362,0
363,4
364,6
365,5
366,3
367,1
368,0
369,0
370,2
371,5
372,0
373,6
374,2
375,5
376,2
377,0
378,3
379,0
380,6
381,3
382,2
383,6
384,1
385,1
386,3
387,1
388,1
389,3
390,4
391,2
392,5
393,3
394,5
395,1
396,1
397,0
398,1
399,2
400,6
401,3
402,2
403,1
404,5
405,5
406,2
407,5
408,0
409,1
410,4
411,2
412,6
413,4
414,5
415,5
416,3
417,5
418,1
419,2
420,3
421,5
422,6
423,5
424,3
425,1
426,3
427,1
428,1
429,2
430,2
431,2
432,0
433,4
434,2
435,3
436,3
437,1
438,3
439,5
440,2
441,2
442,1
443,5
444,4
445,5
446,3
447,0
448,3
449,2
450,1
451,0
452,5
453,2
454,6
455,2
456,3
457,5
458,6
459,0
460,5
461,6
462,3
463,2
464,1
465,3
466,6
467,3
468,4
469,3
470,3
471,4
472,5
473,3
474,5
475,3
476,6
477,1
478,2
479,3
480,6
481,4
482,1
483,5
484,0
485,2
486,3
487,3
488,6
489,6
490,5
491,4
492,3
493,6
494,1
495,3
496,0
497,2
498,1
499,5
500,1
501,0
502,2
503,3
504,3
505,1
506,0
507,2
508,1
509,5
510,5
511,2
512,2
513,2
514,3
515,2
516,2
517,0
518,3
519,2
520,6
521,1
522,6
523,6
524,3
525,2
526,3
527,6
528,1
529,1
530,3
531,2
532,1
533,6
534,1
535,0
536,6
537,1
538,1
539,6
540,3
541,6
542,5
543,0
544,5
545,5
546,1
547,5
548,1
549,2
550,1
551,5
552,0
553,3
554,1
555,2
556,1
557,2
558,3
559,5
560,4
561,1
562,2
563,6
564,6
565,2
566,2
567,3
568,2
569,6
570,5
571,5
572,3
573,2
574,3
575,6
576,1
577,5
578,6
579,1
580,2
581,2
582,3
583,1
584,5
585,6
586,2
587,4
588,3
589,2
590,1
591,0
592,5
593,5
594,5
595,3
596,2
597,6
598,2
599,0
600,2
601,6
602,3
603,5
604,5
605,1
606,1
607,0
608,0
609,4
610,3
611,2
612,1
613,3
614,0
615,1
616,2
617,0
618,6
619,2
620,4
621,0
622,6
623,4
624,1
625,3
626,2
627,0
628,0
629,6
630,6
631,1
632,6
633,1
634,2
635,2
636,4
637,6
638,3
639,4
640,5
641,5
642,3
643,0
644,2
645,0
646,6
647,2
648,6
649,5
650,5
651,5
652,0
653,3
654,6
655,5
656,1
657,5
658,5
659,1
660,5
661,1
662,5
663,1
664,6
665,6
666,4
667,6
668,3
669,5
670,2
671,1
672,2
673,5
674,2
675,1
676,1
677,3
678,1
679,3
680,2
681,6
682,0
683,3
684,2
685,4
686,2
687,1
688,2
689,2
690,3
691,5
692,2
693,5
694,1
695,3
696,1
697,5
698,5
699,6
700,4
701,1
702,1
703,6
704,3
705,1
706,5
707,2
708,3
709,2
710,2
711,1
712,5
713,5
714,0
715,2
716,5
717,1
718,5
719,1
720,4
721,1
722,6
723,6
724,5
725,3
726,1
727,1
728,1
729,3
730,2
731,0
732,2
733,4
734,5
735,1
736,1
737,5
738,2
739,3
740,5
741,4
742,6
743,6
744,5
745,3
746,2
747,3
748,5
749,3
750,0
751,6
752,2
753,1
754,4
755,5
756,5
757,5
758,4
759,3
760,2
761,3
762,1
763,4
764,6
765,4
766,1
767,3
768,2
769,3
770,4
771,5
772,2
773,4
774,3
775,1
776,3
777,3
778,3
779,2
780,5
781,3
782,5
783,6
784,3
785,2
786,6
787,5
788,6
789,5
790,4
791,0
792,5
793,1
794,2
795,6
796,1
797,3
798,4
799,3
800,6
801,3
802,2
803,5
804,3
805,5
806,0
807,5
808,4
809,5
810,6
811,0
812,2
813,3
814,5
815,2
816,3
817,4
818,3
819,0
820,5
821,3
822,6
823,2
824,1
825,2
826,1
827,2
828,5
829,6
830,6
831,2
832,6
833,3
834,1
835,0
836,3
837,3
838,1
839,0
840,3
841,5
842,2
843,4
844,5
845,1
846,4
847,2
848,2
849,6
850,2
851,2
852,1
853,5
854,1
855,3
856,4
857,5
858,0
859,2
860,5
861,2
862,1
863,3
864,4
865,4
866,5
867,1
868,2
869,3
870,0
871,4
872,1
873,5
874,5
875,0
876,5
877,5
878,5
879,3
880,3
881,3
882,4
883,3
884,1
885,1
886,3
887,3
888,1
889,3
890,1
891,3
892,5
893,3
894,2
895,6
896,3
897,0
898,2
899,0
900,3
901,4
902,2
903,1
904,0
905,2
906,4
907,5
908,3
909,5
910,5
911,5
912,4
913,6
914,5
915,2
916,3
917,2
918,2
919,3
920,6
921,0
922,0
923,2
924,4
925,4
926,1
927,3
928,5
929,3
930,2
931,6
932,3
933,1
934,1
935,6
936,0
937,1
938,1
939,1
940,5
941,1
942,5
943,5
944,0
945,2
946,5
947,0
948,3
949,5
950,1
951,4
952,4
953,5
954,0
955,3
956,5
957,5
958,5
959,4
960,2
961,4
962,2
963,5
964,4
965,4
966,6
967,6
968,1
969,5
970,0
971,2
972,6
973,2
974,5
975,6
976,5
977,2
978,6
979,6
980,3
981,5
982,3
983,0
984,6
985,2
986,3
987,1
988,1
989,4
990,1
991,1
992,4
993,2
994,2
995,6
996,2
997,2
998,1
999,3
1000,2
1001,1
1002,2
1003,1
1004,2
1005,3
1006,3
1007,1
1008,3
1009,6
1010,1
1011,6
1012,5
1013,1
1014,5
1015,1
1016,5
1017,1
1018,5
1019,0
1020,2
1021,2
1022,6
1023,2
1024,6
1025,1
1026,0
1027,6
1028,2
1029,1
1030,6
1031,5
1032,3
1033,1
1034,2
1035,1
1036,4
1037,2
1038,3
1039,6
1040,3
1041,3
1042,3
1043,4
1044,0
1045,1
1046,1
1047,2
1048,6
1049,5
1050,5
1051,1
1052,6
1053,4
1054,5
1055,2
1056,0
1057,3
1058,2
1059,3
1060,1
1061,5
1062,2
1063,1
1064,4
1065,4
1066,3
1067,2
1068,2
1069,2
1070,0
1071,3
1072,4
1073,1
1074,5
1075,1
1076,3
1077,6
1078,4
1079,3
1080,2
1081,5
1082,6
1083,6
1084,1
1085,6
1086,4
1087,1
1088,5
1089,3
1090,2
1091,1
1092,1
1093,5
1094,1
1095,3
1096,5
1097,2
1098,5
1099,6
1100,4
1101,0
1102,2
1103,0
1104,5
1105,6
1106,6
1107,2
1108,6
1109,6
1110,5
1111,6
1112,6
1113,5
1114,1
1115,3
1116,6
1117,1
1118,5
1119,6
1120,2
1121,6
1122,6
1123,5
1124,1
1125,1
1126,3
1127,3
1128,4
1129,2
1130,0
1131,6
1132,3
1133,2
1134,4
1135,1
1136,5
1137,4
1138,5
1139,6
1140,3
1141,3
1142,2
1143,5
1144,0
1145,6
1146,2
1147,0
1148,0
1149,6
1150,4
1151,2
1152,0
1153,6
1154,6
1155,2
1156,2
1157,5
1158,5
1159,2
1160,1
1161,4
1162,3
1163,1
1164,2
1165,1
1166,1
1167,4
1168,3
1169,2
1170,0
1171,6
1172,5
1173,6
1174,1
1175,3
1176,0
1177,5
1178,4
1179,4
1180,3
1181,4
1182,5
1183,6
1184,5
1185,4
1186,5
1187,0
1188,5
1189,2
1190,3
1191,2
1192,2
1193,2
1194,2
1195,5
1196,6
1197,2
1198,3
1199,0
1200,1
1201,3
1202,3
1203,6
1204,6
1205,1
1206,3
1207,1
1208,2
1209,0
1210,2
1211,6
1212,4
1213,1
1214,1
1215,6
1216,3
1217,5
1218,5
1219,0
1220,4
1221,0
1222,5
1223,2
1224,3
1225,6
1226,1
1227,1
1228,4
1229,2
1230,5
1231,5
1232,5
1233,4
1234,2
1235,3
1236,6
1237,6
1238,5
1239,3
1240,0
1241,2
1242,3
1243,3
1244,3
1245,5
1246,5
1247,2
1248,1
1249,1
1250,4
1251,6
1252,2
1253,0
1254,2
1255,6
1256,3
1257,1
1258,4
1259,3
1260,6
1261,2
1262,5
1263,2
1264,1
1265,2
1266,3
1267,0
1268,3
1269,5
1270,2
1271,6
1272,3
1273,5
1274,2
1275,4
1276,1
1277,1
1278,4
1279,6
1280,3
1281,3
1282,0
1283,6
1284,6
1285,3
1286,3
1287,0
1288,5
1289,5
1290,1
1291,2
1292,5
1293,5
1294,2
1295,0
1296,3
1297,2
1298,2
1299,6
1300,2
1301,2
1302,5
1303,2
1304,6
1305,2
1306,0
1307,4
1308,0
1309,6
1310,1
1311,6
1312,5
1313,5
1314,1
1315,1
1316,4
1317,6
1318,0
1319,6
1320,5
1321,3
1322,6
1323,5
1324,3
1325,1
1326,3
1327,6
1328,6
1329,3
1330,2
1331,0
1332,6
1333,1
1334,2
1335,2
1336,6
1337,5
1338,6
1339,3
1340,2
1341,4
1342,1
1343,1
1344,6
1345,0
1346,4
1347,6
1348,6
1349,1
1350,1
1351,3
1352,3
1353,6
1354,3
1355,3
1356,5
1357,6
1358,5
1359,2
1360,3
1361,3
1362,1
1363,1
1364,5
1365,1
1366,1
1367,3
1368,1
1369,1
1370,2
1371,1
1372,5
1373,4
1374,2
1375,4
1376,1
1377,5
1378,2
1379,2
1380,3
1381,1
1382,2
1383,2
1384,3
1385,3
1386,1
1387,0
1388,2
1389,1
1390,5
1391,5
1392,6
1393,0
1394,3
1395,2
1396,5
1397,6
1398,0
1399,3
1400,4
1401,5
1402,5
1403,3
1404,0
1405,3
1406,3
1407,2
1408,1
1409,6
1410,5
1411,3
1412,5
1413,2
1414,6
1415,5
1416,2
1417,4
1418,2
1419,0
1420,3
1421,5
1422,1
1423,5
1424,4
1425,2
1426,1
1427,4
1428,2
1429,4
1430,2
1431,6
1432,3
1433,2
1434,5
1435,2
1436,2
1437,1
1438,1
1439,6
1440,0
1441,2
1442,0
1443,6
1444,3
1445,1
1446,5
1447,5
1448,1
1449,1
1450,3
1451,5
1452,6
1453,1
1454,2
1455,1
1456,4
1457,6
1458,6
1459,0
1460,1
1461,2
1462,2
1463,2
1464,1
1465,3
1466,0
1467,2
1468,5
1469,2
1470,5
1471,3
1472,6
1473,2
1474,5
1475,5
1476,5
1477,1
1478,5
1479,2
1480,2
1481,5
1482,5
1483,2
1484,2
1485,0
1486,2
1487,1
1488,2
1489,6
1490,6
1491,1
1492,2
1493,1
1494,1
1495,2
1496,3
1497,2
1498,6
1499,5
1500,6
1501,2
1502,1
1503,0
1504,6
1505,4
1506,4
1507,3
1508,5
1509,6
1510,3
1511,0
1512,2
1513,1
1514,1
1515,2
1516,5
1517,2
1518,4
1519,3
1520,4
1521,4
1522,1
1523,6
1524,3
1525,2
1526,1
1527,0
1528,3
1529,6
1530,5
1531,3
1532,3
1533,5
1534,1
1535,1
1536,1
1537,1
1538,2
1539,5
1540,4
1541,6
1542,5
1543,6
1544,1
1545,5
1546,2
1547,6
1548,0
1549,4
1550,3
1551,3
1552,0
1553,1
1554,1
1555,5
1556,2
1557,0
1558,2
1559,5
1560,1
1561,6
1562,3
1563,5
1564,6
1565,6
1566,5
1567,1
1568,5
1569,1
1570,2
1571,3
1572,6
1573,2
1574,2
1575,3
1576,3
1577,6
1578,2
1579,0
1580,2
1581,1
1582,0
1583,0
1584,3
1585,4
1586,3
1587,1
1588,6
1589,0
1590,0
1591,6
1592,6
1593,4
1594,3
1595,5
1596,3
1597,3
1598,3
1599,3
1600,5
1601,1
1602,5
1603,5
1604,1
1605,3
1606,2
1607,5
1608,6
1609,2
1610,4
1611,6
1612,2
1613,6
1614,4
1615,5
1616,5
1617,6
1618,4
1619,5
1620,5
1621,1
1622,6
1623,6
1624,3
1625,1
1626,2
1627,3
1628,0
1629,6
1630,0
1631,5
1632,1
1633,0
1634,1
1635,2
1636,3
1637,4
1638,6
1639,1
1640,2
1641,5
1642,6
1643,5
1644,0
1645,0
1646,3
1647,3
1648,2
1649,3
1650,5
1651,6
1652,2
1653,4
1654,1
1655,2
1656,0
1657,3
1658,2
1659,6
1660,0
1661,1
1662,6
1663,1
1664,1
1665,3
1666,3
1667,3
1668,5
1669,6
1670,1
1671,5
1672,4
1673,1
1674,3
1675,5
1676,1
1677,1
1678,1
1679,3
1680,2
1681,2
1682,1
1683,4
1684,5
1685,3
1686,5
1687,5
1688,1
1689,6
1690,2
1691,4
1692,6
1693,5
1694,0
1695,0
1696,3
1697,2
1698,0
1699,1
1700,2
1701,2
1702,5
1703,1
1704,5
1705,5
1706,3
1707,3
1708,2
1709,1
1710,4
1711,1
1712,6
1713,6
1714,3
1715,6
1716,3
1717,5
1718,5
1719,6
1720,1
1721,5
1722,2
1723,1
1724,5
1725,1
1726,1
1727,6
1728,5
1729,5
1730,6
1731,3
1732,3
1733,2
1734,3
1735,2
1736,1
1737,0
1738,6
1739,2
1740,1
1741,2
1742,4
1743,0
1744,2
1745,0
1746,1
1747,3
1748,0
1749,6
1750,6
1751,4
1752,2
1753,1
1754,1
1755,6
1756,3
1757,1
1758,3
1759,5
1760,1
1761,4
1762,3
1763,5
1764,2
1765,2
1766,1
1767,0
1768,5
1769,2
1770,3
1771,1
1772,5
1773,3
1774,3
1775,0
1776,3
1777,1
1778,1
1779,1
1780,6
1781,3
1782,6
1783,3
1784,6
1785,1
1786,1
1787,2
1788,1
1789,0
1790,2
1791,6
1792,3
1793,1
1794,0
1795,5
1796,0
1797,1
1798,0
1799,3
1800,3
1801,5
1802,5
1803,4
1804,5
1805,2
1806,3
1807,3
1808,3
1809,1
1810,2
1811,6
1812,2
1813,0
1814,2
1815,2
1816,6
1817,6
1818,2
1819,2
1820,4
1821,2
1822,6
1823,3
1824,1
1825,6
1826,3
1827,3
1828,3
1829,1
1830,3
1831,1
1832,3
1833,1
1834,6
1835,5
1836,3
1837,5
1838,5
1839,3
1840,1
1841,4
1842,5
1843,5
1844,1
1845,2
1846,3
1847,4
1848,4
1849,3
1850,4
1851,2
1852,5
1853,0
1854,5
1855,3
1856,6
1857,5
1858,6
1859,0
1860,1
1861,6
1862,3
1863,5
1864,1
1865,2
1866,0
1867,1
1868,3
1869,2
1870,2
1871,5
1872,6
1873,4
1874,2
1875,6
1876,6
1877,5
1878,1
1879,2
1880,6
1881,0
1882,4
1883,1
1884,2
1885,2
1886,3
1887,1
1888,6
1889,5
1890,1
1891,3
1892,4
1893,6
1894,2
1895,2
1896,5
1897,4
1898,1
1899,4
1900,5
1901,1
1902,2
1903,1
1904,1
1905,5
1906,1
1907,5
1908,6
1909,3
1910,6
1911,4
1912,6
1913,0
1914,1
1915,2
1916,6
1917,3
1918,1
1919,3
1920,4
1921,6
1922,1
1923,5
1924,4
1925,6
1926,4
1927,6
1928,3
1929,6
1930,0
1931,3
1932,5
1933,2
1934,6
1935,1
1936,3
1937,3
1938,3
1939,2
1940,2
1941,5
1942,3
1943,2
1944,4
1945,2
1946,5
1947,4
1948,4
1949,6
1950,6
1951,1
1952,3
1953,6
1954,3
1955,6
1956,3
1957,2
1958,6
1959,1
1960,2
1961,4
1962,6
1963,2
1964,5
1965,4
1966,5
1967,5
1968,0
1969,4
1970,6
1971,5
1972,1
1973,1
1974,4
1975,3
1976,1
1977,5
1978,3
1979,5
1980,2
1981,3
1982,2
1983,5
1984,3
1985,2
1986,3
1987,1
1988,3
1989,0
1990,3
1991,3
1992,6
1993,6
1994,6
1995,6
1996,4
1997,4
1998,5
1999,2
2000,4
2001,4
2002,2
2003,2
2004,2
2005,3
2006,6
2007,6
2008,3
2009,6
2010,2
2011,2
2012,2
2013,1
2014,4
2015,2
2016,4
2017,1
2018,1
2019,6
2020,3
2021,1
2022,6
2023,4
2024,5
2025,6
2026,5
2027,6
2028,2
2029,6
2030,1
2031,5
2032,1
2033,3
2034,2
2035,6
2036,0
2037,3
2038,5
2039,3
2040,5
2041,2
2042,0
2043,6
2044,4
2045,6
2046,1
2047,1
2048,1
2049,4
2050,1
2051,6
2052,0
2053,1
2054,6
2055,1
2056,2
2057,1
2058,1
2059,1
2060,3
2061,1
2062,1
2063,2
2064,1
2065,3
2066,3
2067,0
2068,5
2069,0
2070,4
2071,4
2072,5
2073,2
2074,2
2075,6
2076,1
2077,1
2078,6
2079,1
2080,2
2081,5
2082,2
2083,0
2084,5
2085,4
2086,6
2087,3
2088,3
2089,5
2090,5
2091,4
2092,5
2093,4
2094,2
2095,3
2096,4
2097,1
2098,0
2099,6
2100,0
2101,5
2102,4
2103,1
2104,1
2105,4
2106,6
2107,4
2108,1
2109,0
2110,2
2111,5
2112,1
2113,5
2114,5
2115,1
2116,1
2117,5
2118,2
2119,1
2120,5
2121,4
2122,6
2123,5
2124,5
2125,3
2126,0
2127,1
2128,5
2129,6
2130,1
2131,6
2132,5
2133,0
2134,0
2135,3
2136,2
2137,0
2138,2
2139,3
2140,3
2141,0
2142,1
2143,1
2144,5
2145,4
2146,0
2147,1
2148,1
2149,5
2150,6
2151,3
2152,6
2153,1
2154,3
2155,5
2156,6
2157,6
2158,4
2159,5
2160,3
2161,2
2162,6
2163,6
2164,6
2165,1
2166,3
2167,5
2168,6
2169,2
2170,6
2171,1
2172,0
2173,2
2174,2
2175,0
2176,5
2177,4
2178,3
2179,6
2180,0
2181,0
2182,3
2183,6
2184,1
2185,3
2186,3
2187,1
2188,0
2189,3
2190,6
2191,2
2192,4
2193,6
2194,1
2195,4
2196,6
2197,6
2198,3
2199,3
2200,6
2201,6
2202,6
2203,3
2204,4
2205,6
2206,5
2207,2
2208,1
2209,1
2210,4
2211,5
2212,2
2213,4
2214,3
2215,2
2216,4
2217,3
2218,5
2219,5
2220,2
2221,2
2222,3
2223,5
2224,5
2225,0
2226,3
2227,2
2228,3
2229,1
2230,6
2231,2
2232,1
2233,3
2234,3
2235,6
2236,2
2237,2
2238,2
2239,3
2240,5
2241,5
2242,1
2243,3
2244,2
2245,2
2246,5
2247,4
2248,6
2249,4
2250,0
2251,2
2252,2
2253,5
2254,6
2255,0
2256,2
2257,6
2258,3
2259,1
2260,3
2261,2
2262,6
2263,2
2264,3
2265,4
2266,1
2267,6
2268,1
2269,3
2270,5
2271,6
2272,2
2273,1
2274,6
2275,0
2276,3
2277,1
2278,5
2279,5
2280,2
2281,4
2282,0
2283,2
2284,5
2285,6
2286,0
2287,3
2288,1
2289,3
2290,6
2291,1
2292,2
2293,3
2294,1
2295,1
2296,4
2297,0
2298,5
2299,2
2300,1
2301,5
2302,2
2303,2
2304,2
2305,1
2306,5
2307,2
2308,1
2309,5
2310,5
2311,3
2312,3
2313,2
2314,3
2315,5
2316,0
2317,1
2318,0
2319,1
2320,3
2321,2
2322,2
2323,2
